ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS
RXN000742,Buchwald,[],"[""Pd""]","[""none""]","[""NaOH""]","[""BASE""]","[""Anisole""]",,,81.0,"[""O=Cc1cccc2ccccc12"", ""NNc1ccccc1"", ""Ic1ccccc1"", ""[C-]#[O+]""]","[""O=C(c1ccccc1)N(/N=C/c1cccc2ccccc12)c1ccccc1""]","Journal of Organic Chemistry (2024), 89(12), 8537-8545",Pd/none/NaOH/Anisole,BCB4B599,BCB4B599,53199-31-8 + 1310-73-2 + 100-66-3
RXN000743,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""CC(C)(C)c1cccc(-n2c(C=Cc3ccc(C(F)(F)F)cc3)nc3ccc(Cl)cc3c2=O)c1""]","[""CC(C)(C)c1cccc(-n2c(/C=C/c3ccc(C(F)(F)F)cc3)nc3ccc(N4CCCCC4)cc3c2=O)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000744,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""CCNCC"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","[""CCN(CC)c1ccc2nc(C=Cc3cccc(OC)n3)n(-c3cccc(C(C)(C)C)c3)c(=O)c2c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000745,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""COc1cccc(-n2c(C=Cc3cccc(OC)n3)nc3ccc(Cl)cc3c2=O)c1""]","[""COc1cccc(-n2c(C=Cc3cccc(OC)n3)nc3ccc(N4CCCCC4)cc3c2=O)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000746,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""BINAP""]","[""Cs2CO3""]","[""BASE""]","[""Tol""]",,,81.0,"[""COC(=O)/C(=C(/C)Nc1cccc(C(F)(F)F)c1C)c1ccccc1Br""]","[""COC(=O)c1c(C)n(-c2cccc(C(F)(F)F)c2C)c2ccccc12""]","ACS Catalysis (2023), 13(11), 7680-7690",Pd/BINAP/Cs2CO3/Tol,54BAA93E,54BAA93E,3375-31-3 + 76189-56-5 + 534-17-8 + 108-88-3
RXN000747,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""CC(C)(C)c1cccc(-n2c(C=Cc3ccc(C(F)(F)F)nc3)nc3ccc(Cl)cc3c2=O)c1""]","[""CC(C)(C)c1cccc(-n2c(C=Cc3ccc(C(F)(F)F)nc3)nc3ccc(N4CCCCC4)cc3c2=O)c1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000748,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CC(N2CCOCC2)CCN1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCC(N5CCOCC5)CC4)cc3c(=O)n2-c2cccc(C)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000749,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNCC1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCCCC4)cc3c(=O)n2-c2cccc(C)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000750,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""none""]","[""NaOtBu"", ""7647-14-5""]","[""BASE"", ""UNK""]","[""Tol"", ""H2O""]",,,81.0,"[""C1CCNC1"", ""COc1cccc(C=Cc2nc3ccc(Cl)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","[""COc1cccc(C=Cc2nc3ccc(N4CCCC4)cc3c(=O)n2-c2cccc(C(C)(C)C)c2)n1""]","Journal of Medicinal Chemistry (2023), 66(15), 10746-10760",Pd/none/NaOtBu+7647-14-5/Tol+H2O,3C8C0392,718A344E,51364-51-3 + 657408-07-6 + 865-48-5 + 7647-14-5 + 108-88-3 + 7732-18-5
RXN000751,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""none""]","[""KOtBu""]","[""BASE""]","[""Tol""]",,,81.0,"[""NNc1ccccc1"", ""Cc1ccc(Br)c(C=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)c1""]","[""Cc1ccc2c(c1)c(-c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)nn2-c1ccccc1""]","Journal of Organic Chemistry (2024), 89(1), 402-413",Pd/none/KOtBu/Tol,64B334EC,64B334EC,3375-31-3 + 6737-42-4 + 865-47-4 + 108-88-3
